买入股票海螺水泥:股票代码：sh.600585, 股票名称：海螺水泥,股票价格：23.79，股票数量：700.0，综合排名：32，pb排名：19，分红率排名：35，pe排名：54，ROE排名：25，pb值：0.666726，pe值：14.427272，bonusRate:0.0201765447667087,bonusAmount:0.48,ROE:0.06871425,花费资金16653.0
相同行业股票过多，不买:股票代码：sh.601800, 股票名称：中国交建,股票价格：8.94，股票数量：1800.0，综合排名：33，pb排名：10，分红率排名：42，pe排名：22，ROE排名：64，pb值：0.499779，pe值：6.752018，bonusRate:0.016362416107382552,bonusAmount:0.14628000000000002,ROE:0.04602325
相同行业股票过多，不买:股票代码：sh.601117, 股票名称：中国化学,股票价格：7.5，股票数量：2200.0，综合排名：34，pb排名：23，分红率排名：53，pe排名：28，ROE排名：34，pb值：0.699378，pe值：7.696857，bonusRate:0.011866666666666666,bonusAmount:0.089,ROE:0.06114885
买入股票上港集团:股票代码：sh.600018, 股票名称：上港集团,股票价格：5.59，股票数量：2900.0，综合排名：35，pb排名：44，分红率排名：46，pe排名：37，ROE排名：13，pb值：0.952673，pe值：8.927167，bonusRate:0.015384615384615384,bonusAmount:0.086,ROE:0.08764935,花费资金16211.0
买入股票中国石油:股票代码：sh.601857, 股票名称：中国石油,股票价格：8.54668949，股票数量：1900.0，综合排名：36，pb排名：51，分红率排名：13，pe排名：40，ROE排名：38，pb值：1.031622，pe值：10.040183，bonusRate:0.02574096090157594,bonusAmount:0.22,ROE:0.060191850000000005,花费资金16238.710031
买入股票华域汽车:股票代码：sh.600741, 股票名称：华域汽车,股票价格：20.14，股票数量：800.0，综合排名：37，pb排名：49，分红率排名：38，pe排名：39，ROE排名：23，pb值：1.012599，pe值：9.460841，bonusRate:0.01861966236345581,bonusAmount:0.375,ROE:0.07055765,花费资金16112.0
买入股票中国石化:股票代码：sh.600028, 股票名称：中国石化,股票价格：5.52，股票数量：3000.0，综合排名：38，pb排名：32，分红率排名：4，pe排名：63，ROE排名：52，pb值：0.808389，pe值：18.532691，bonusRate:0.03125,bonusAmount:0.1725,ROE:0.05022805,花费资金16560.0
买入股票保利发展:股票代码：sh.600048, 股票名称：保利发展,股票价格：7.96，股票数量：2000.0，综合排名：39，pb排名：9，分红率排名：12，pe排名：85，ROE排名：45，pb值：0.49189，pe值：326.248528，bonusRate:0.025753768844221103,bonusAmount:0.205,ROE:0.05555979999999999,花费资金15920.0
相同行业股票过多，不买:股票代码：sh.600000, 股票名称：浦发银行,股票价格：13.43，股票数量：1200.0，综合排名：40，pb排名：15，分红率排名：52，pe排名：30，ROE排名：54，pb值：0.6016，pe值：8.531747，bonusRate:0.011950856291883843,bonusAmount:0.1605,ROE:0.049236749999999996
相同行业股票过多，不买:股票代码：sh.601288, 股票名称：农业银行,股票价格：7.16，股票数量：2300.0，综合排名：41，pb排名：43，分红率排名：44，pe排名：34，ROE排名：31，pb值：0.935693，pe值：8.770983，bonusRate:0.016124301675977656,bonusAmount:0.11545000000000001,ROE:0.06351545
买入股票中国太保:股票代码：sh.601601, 股票名称：中国太保,股票价格：37.0，股票数量：400.0，综合排名：42，pb排名：66，分红率排名：50，pe排名：27，ROE排名：10，pb值：1.262821，pe值：7.460286，bonusRate:0.013783783783783784,bonusAmount:0.51,ROE:0.08909380000000001,花费资金14800.0
买入股票招商公路:股票代码：sz.001965, 股票名称：招商公路,股票价格：10.04，股票数量：1600.0，综合排名：43，pb排名：52，分红率排名：9，pe排名：49，ROE排名：53，pb值：1.050092，pe值：13.38107，bonusRate:0.02644422310756972,bonusAmount:0.26549999999999996,ROE:0.050048499999999996,花费资金16063.999999999998
买入股票浙能电力:股票代码：sh.600023, 股票名称：浙能电力,股票价格：5.11，股票数量：3200.0，综合排名：44，pb排名：40，分红率排名：18，pe排名：38，ROE排名：71，pb值：0.929199，pe值：9.337038，bonusRate:0.02446183953033268,bonusAmount:0.125,ROE:0.042309400000000004,花费资金16352.000000000002
买入股票白云山:股票代码：sh.600332, 股票名称：白云山,股票价格：25.75，股票数量：600.0，综合排名：45，pb排名：56，分红率排名：48，pe排名：56，ROE排名：7，pb值：1.108684，pe值：14.940415，bonusRate:0.01454368932038835,bonusAmount:0.3745,ROE:0.09068985,花费资金15450.0
相同行业股票过多，不买:股票代码：sh.601669, 股票名称：中国电建,股票价格：5.76，股票数量：2800.0，综合排名：46，pb排名：21，分红率排名：54，pe排名：36，ROE排名：56，pb值：0.689466，pe值：8.902446，bonusRate:0.011848090277777779,bonusAmount:0.068245,ROE:0.0483838
买入股票中国人保:股票代码：sh.601319, 股票名称：中国人保,股票价格：8.15，股票数量：2000.0，综合排名：47，pb排名：67，分红率排名：66，pe排名：29，ROE排名：11，pb值：1.264159，pe值：7.715909，bonusRate:0.009570552147239264,bonusAmount:0.078,ROE:0.08894845000000001,花费资金16300.0
买入股票上海医药:股票代码：sh.601607, 股票名称：上海医药,股票价格：18.13，股票数量：900.0，综合排名：48，pb排名：38，分红率排名：56，pe排名：44，ROE排名：36，pb值：0.895293，pe值：11.077156，bonusRate:0.011307225592939878,bonusAmount:0.205,ROE:0.06092445,花费资金16317.0
买入股票中联重科:股票代码：sz.000157, 股票名称：中联重科,股票价格：7.28，股票数量：2200.0，综合排名：49，pb排名：54，分红率排名：28，pe排名：58，ROE排名：35，pb值：1.101824，pe值：15.751718，bonusRate:0.021978021978021976,bonusAmount:0.16,ROE:0.06103285000000001,花费资金16016.0
买入股票南山铝业:股票代码：sh.600219, 股票名称：南山铝业,股票价格：3.98，股票数量：4100.0，综合排名：50，pb排名：37，分红率排名：47，pe排名：35，ROE排名：57，pb值：0.893849，pe值：8.776631，bonusRate:0.01507537688442211,bonusAmount:0.06,ROE:0.0480539,花费资金16318.0
买入股票潍柴动力:股票代码：sz.000338, 股票名称：潍柴动力,股票价格：14.24，股票数量：1100.0，综合排名：51，pb排名：78，分红率排名：39，pe排名：45，ROE排名：16，pb值：1.386229，pe值：11.137752，bonusRate:0.018223314606741575,bonusAmount:0.2595,ROE:0.08368985,花费资金15664.0
买入股票宝钢股份:股票代码：sh.600019, 股票名称：宝钢股份,股票价格：7.01，股票数量：2300.0，综合排名：52，pb排名：27，分红率排名：27，pe排名：69，ROE排名：67，pb值：0.749461，pe值：19.839799，bonusRate:0.022111269614835952,bonusAmount:0.15500000000000003,ROE:0.0453281,花费资金16123.0
相同行业股票过多，不买:股票代码：sh.601618, 股票名称：中国中冶,股票价格：3.48，股票数量：4700.0，综合排名：53，pb排名：22，分红率排名：61，pe排名：47，ROE排名：62，pb值：0.696601，pe值：12.662325，bonusRate:0.010344827586206896,bonusAmount:0.036,ROE:0.0472954
买入股票特变电工:股票代码：sh.600089, 股票名称：特变电工,股票价格：14.86，股票数量：1100.0，综合排名：54，pb排名：59，分红率排名：75，pe排名：61，ROE排名：4，pb值：1.132749，pe值：17.516917，bonusRate:0.0067294751009421274,bonusAmount:0.1,ROE:0.1064611,花费资金16346.0
买入股票华泰证券:股票代码：sh.601688, 股票名称：华泰证券,股票价格：20.56，股票数量：800.0，综合排名：55，pb排名：57，分红率排名：59，pe排名：43，ROE排名：50，pb值：1.112439，pe值：10.55107，bonusRate:0.010457198443579768,bonusAmount:0.215,ROE:0.05164585000000001,花费资金16448.0
############################2025-09-15-持仓情况############################
持仓股票数目:30
股票代码：sh.601668, 股票名称：中国建筑,股票价格：5.57，股票数量：2900.0，综合排名：1，pb排名：8，分红率排名：19，pe排名：4，ROE排名：9，pb值：0.485469，pe值：4.882153，bonusRate:0.024367145421903054,bonusAmount:0.135725,ROE:0.08952665
股票代码：sz.000001, 股票名称：平安银行,股票价格：11.65，股票数量：1400.0，综合排名：2，pb排名：11，分红率排名：5，pe排名：7，ROE排名：29，pb值：0.513689，pe值：5.197337，bonusRate:0.030858369098712448,bonusAmount:0.35950000000000004,ROE:0.06521874999999999
股票代码：sh.601169, 股票名称：北京银行,股票价格：5.88，股票数量：2800.0，综合排名：3，pb排名：6，分红率排名：6，pe排名：3，ROE排名：42，pb值：0.451473，pe值：4.781935，bonusRate:0.0272108843537415,bonusAmount:0.16,ROE:0.056536750000000004
股票代码：sh.601229, 股票名称：上海银行,股票价格：9.27，股票数量：1700.0，综合排名：4，pb排名：12，分红率排名：15，pe排名：9，ROE排名：28，pb值：0.541678，pe值：5.529261，bonusRate:0.024811218985976265,bonusAmount:0.22999999999999998,ROE:0.06709225000000002
股票代码：sh.601919, 股票名称：中远海控,股票价格：14.95，股票数量：1100.0，综合排名：5，pb排名：46，分红率排名：16，pe排名：2，ROE排名：1，pb值：0.997886，pe值：4.653169，bonusRate:0.024749163879598662,bonusAmount:0.37,ROE:0.29608805
股票代码：sh.601390, 股票名称：中国中铁,股票价格：5.61，股票数量：2900.0，综合排名：12，pb排名：5，分红率排名：37，pe排名：8，ROE排名：33，pb值：0.447066，pe值：5.456887，bonusRate:0.018716577540106954,bonusAmount:0.10500000000000001,ROE:0.06150895000000001
