code,codeName,peTTM,pbMRQ,close,industry,roe_mean,roe_std,roe_count,roe_volatility,amount,stockDividend,dividend_yield,pe_rank,pb_rank,dividend_rank,roe_mean_rank,roe_volatility_rank,total_rank
sz.001965,招商公路,13.237902,1.024784,10.08,G54道路运输业,0.05208684210526316,0.026456611805963776,19.0,0.5079327280486149,0.417,0.0,0.04136904761904762,126.0,100.0,143.0,212.0,104.0,369.0
sh.600019,宝钢股份,16.776339,0.775302,7.27,C31黑色金属冶炼和压延加工业,0.04379278947368421,0.033022603302012773,19.0,0.7540648517458927,0.33,0.0,0.0453920220082531,193.0,56.0,124.0,239.0,233.0,373.0
sh.601001,晋控煤业,12.653809,1.301601,14.62,B06煤炭开采和洗选业,0.0,0.0,,,0.755,0.0,0.051641586867305064,113.0,167.0,93.0,284.0,,373.0
sh.601928,凤凰传媒,13.45697,1.309885,10.34,R86新闻和出版业,0.0,0.0,,,0.6,0.0,0.058027079303675046,133.0,170.0,74.0,284.0,,377.0
sz.002563,森马服饰,16.824101,1.349764,5.74,C18纺织服装、服饰业,0.0,0.0,,,0.5,0.0,0.08710801393728222,194.0,177.0,8.0,284.0,,379.0
sz.000563,陕国投A,12.472888,0.955253,3.47,J69其他金融业,0.0,0.0,,,0.12,0.0,0.034582132564841495,107.0,85.0,188.0,284.0,,380.0
sh.600873,梅花生物,7.556923,1.767894,10.16,C14食品制造业,0.0,0.0,,,0.60193,0.0,0.05924507874015748,38.0,274.0,71.0,284.0,,383.0
sh.601601,中国太保,6.468692,1.191604,35.2,J68保险业,0.09014063157894736,0.041382476702384444,19.0,0.4590879382306154,1.08,0.0,0.03068181818181818,24.0,146.0,215.0,108.0,64.0,385.0
sz.000591,太阳能,16.579707,0.72171,4.48,D44电力、热力生产和供应业,0.0,0.0,,,0.1761139,0.0,0.03931113839285714,188.0,43.0,154.0,284.0,,385.0
sh.601319,中国人保,6.91207,1.174346,8.34,J68保险业,0.09142678947368421,0.037571903368487924,19.0,0.41095070257610233,0.255,0.0,0.030575539568345324,30.0,140.0,216.0,102.0,28.0,386.0
sz.002508,老板电器,12.547419,1.684819,20.35,C38电气机械和器材制造业,0.0,0.0,,,1.5,0.0,0.07371007371007371,111.0,252.0,23.0,284.0,,386.0
sh.600332,白云山,14.077332,1.109128,25.86,C27医药制造业,0.08849484210526316,0.027175706488339012,19.0,0.3070880273000991,1.2000000000000002,0.0,0.046403712296983764,150.0,124.0,113.0,111.0,9.0,387.0
sz.000987,越秀资本,10.243064,1.160329,7.32,J69其他金融业,0.0,0.0,,,0.26,0.0,0.03551912568306011,72.0,136.0,183.0,284.0,,391.0
sh.601766,中国中车,13.355487,1.18824,7.03,C37铁路、船舶、航空航天和其他运输设备制造业,0.03708668421052632,0.02503599961400612,19.0,0.6750670799224523,0.32000000000000006,0.0,0.045519203413940265,130.0,144.0,121.0,256.0,211.0,395.0
sh.601156,东航物流,9.949655,1.369334,16.43,G56航空运输业,0.0,0.0,,,0.677,0.0,0.04120511259890445,68.0,183.0,145.0,284.0,,396.0
sh.600938,中国海油,11.214552,1.75947,29.08,B07石油和天然气开采业,0.13085835294117645,0.06242903936464702,17.0,0.4770734000657197,1.94771,0.0,0.06697764786795049,84.0,271.0,44.0,43.0,85.0,399.0
sz.000338,潍柴动力,12.718496,1.606505,17.34,C36汽车制造业,0.07530847368421052,0.041063446028159915,19.0,0.5452699280608239,1.077,0.0,0.06211072664359862,115.0,230.0,59.0,147.0,138.0,404.0
sh.600028,中国石化,20.05262,0.869947,5.97,B07石油和天然气开采业,0.05075921052631579,0.0237632140773623,19.0,0.46815570673705437,0.374,0.0,0.06264656616415411,279.0,70.0,56.0,217.0,77.0,405.0
sh.600999,招商证券,11.686069,1.202797,16.27,J67资本市场服务,0.05006173684210526,0.025839803230335485,19.0,0.5161587443886383,0.597,0.0,0.03669330055316533,92.0,147.0,173.0,218.0,111.0,412.0
sh.601607,上海医药,11.751588,0.87543,17.89,F52零售业,0.057958368421052626,0.026607485423822883,19.0,0.4590792692873331,0.49,0.0,0.027389603130240355,93.0,72.0,248.0,192.0,63.0,413.0
sh.601921,浙版传媒,13.843877,1.305111,7.99,R86新闻和出版业,0.0,0.0,,,0.4,0.0,0.05006257822277847,145.0,168.0,100.0,284.0,,413.0
sh.600050,中国联通,17.707636,0.974682,5.36,I63电信、广播电视和卫星传输服务,0.035368000000000004,0.01502820794373035,19.0,0.4249097473346061,0.2692,0.0,0.05022388059701492,223.0,92.0,99.0,261.0,35.0,414.0
sh.600546,山煤国际,17.04391,1.28318,10.6,B06煤炭开采和洗选业,0.0,0.0,,,0.6900000000000001,0.0,0.06509433962264152,204.0,164.0,50.0,284.0,,418.0
sh.603833,欧派家居,13.424979,1.701356,52.91,C21家具制造业,0.09142368421052631,0.06271811121646922,19.0,0.6860160116939151,3.7199999999999998,0.0,0.0703080703080703,132.0,256.0,33.0,103.0,214.0,421.0
sh.600720,中交设计,11.225869,1.120227,7.45,M74专业技术服务业,0.0,0.0,,,0.229,0.0,0.03073825503355705,85.0,127.0,212.0,284.0,,424.0
sz.000157,中联重科,16.908126,1.247041,8.41,C35专用设备制造业,0.051839210526315786,0.030264306874929137,19.0,0.5838111068370859,0.5,0.0,0.059453032104637336,200.0,156.0,69.0,214.0,165.0,425.0
sh.601336,新华保险,5.206555,1.989523,64.1,J68保险业,0.11335873684210526,0.0801701876807098,19.0,0.707225485340199,3.1999999999999997,0.0,0.0499219968798752,9.0,321.0,101.0,65.0,223.0,431.0
